locacion,celda,grilla,cod_plano_celda,puntos,este,norte,altitud,area,Shape_Leng,Shape_Area,tph,porc_exceso,prof,tipo_punto
EA103,EA103_03,SUE-EA103-8,A4,"L-X,6,PZEA103-1",471885.882199999,9525522.39399999,49,3.53297074483364,8.48066425097238,3.53297074483364,0,NA,0.4,549 puntos
EA103,EA103_03,SUE-EA103-14,A4,"L-X,6,PZEA103-2",471889.264,9525532.59699999,49,3.34950000140816,8.35839228977169,3.34950000140816,327,NA,0.4,549 puntos
EA103,EA103_03,SUE-EA103-20,A4,"L-X,6,PZEA103-3",471883.068199999,9525530.50999999,49,9,12,9,312,NA,0.4,549 puntos
EA103,EA103_03,SUE-EA103-31,A4,"L-X,6,PZEA103-4",471889.068199999,9525528.46399999,49,4.29019283074827,11.8857763868394,4.29019283074827,54,NA,0.4,549 puntos
EA103,EA103_03,SUE-EA103-32,A4,"L-X,6,PZEA103-5",471886.068199999,9525527.50999999,49,9,12,9,317,NA,0.4,549 puntos
EA1782,EA1782_13,SUE-EA1782-17,A13,"L-X,6,PZEA1782-1",472129.068199999,9525487.67799999,72,4.0086000021547,8.67240000143647,4.0086000021547,21,NA,0.4,549 puntos
EA1782,EA1782_11,SUE-EA1782-31,A16,"L-X,6,PZEA1782-2",472161.337699999,9525485.50999999,72,4.61670000012964,9.07780000008642,4.61670000012964,42,NA,0.4,549 puntos
EA1782,EA1782_11,SUE-EA1782-80,A16,"L-X,6,PZEA1782-3",472161.337699999,9525479.67799999,72,4.09932181900981,8.40539999864995,4.09932181900981,40,NA,0.4,549 puntos
EA1782,EA1782_13,SUE-EA1782-86,A13,"L-X,6,PZEA1782-4",472132.068199999,9525487.67799999,72,4.0086000021547,8.67240000143647,4.0086000021547,113,NA,0.4,549 puntos
EA1782,EA1782_13,SUE-EA1782-103,A13,"L-X,6,PZEA1782-5",472135.0298,9525485.54499999,72,8.74493340022948,11.6013216488001,8.74493340022948,0,NA,0.4,549 puntos
EA1782,EA1782_11,SUE-EA1782-119,A16,"L-X,6,PZEA1782-6",472159.068199999,9525479.67799999,72,7.99139999784529,11.3275999985635,7.99139999784529,37,NA,0.4,549 puntos
EA1782,EA1782_13,SUE-EA1782-122,A13,"L-X,6,PZEA1782-7",472135.068199999,9525479.50999999,72,9,12,9,37,NA,0.4,549 puntos
EA1782,EA1782_11,SUE-EA1782-129,A16,"L-X,6,PZEA1782-8",472159.068199999,9525482.50999999,72,9,12,9,37,NA,0.4,549 puntos
EA1782,EA1782_13,SUE-EA1782-158,A13,"L-X,6,PZEA1782-9",472129.068199999,9525482.50999999,72,9,12,9,215,NA,0.4,549 puntos
EA1510,EA1510_21,SUE-EA1510-17,A18,"L-X,6,PZEA1510-1",472699.068199999,9525536.50999999,134,9,12,9,25859,1.5859,0.4,549 puntos
EA1510,EA1510_08,SUE-EA1510-46,A12,"L-X,6,PZEA1510-2",472708.068199999,9525527,134,7.7471317690623,12.6824045229484,7.7471317690623,17627,0.7627,0.4,549 puntos
EA1510,EA1510_08,SUE-EA1510-48,A12,"L-X,6,PZEA1510-3",472705.068199999,9525524.50999999,134,9,12,9,217,NA,0.4,549 puntos
