LOCACION;COD_CELDA;COD_PLANO_CELDA;COD_GRILLA;PUNTO;ESTE;NORTE;ALTITUD;PROF;TIPO_COMP;NUM_EVAL;T_SUPERB;AREA;N_SUPERVIS;TPH;PORC_EXCESO;CA;prof
EA910;AREA-EA910-3;B2;AREA-EA910-3-12;L-X,6,PZEA910-1;481924.452;9528268.453;284;0.15;Area remediada; ;2025;25.23675026;3;416;;0007-4-2025-102;0.15
EA910;AREA-EA910-3;B2;AREA-EA910-3-11;L-X,6,PZEA910-2;481924.559;9528266.893;284;0.15;Area remediada; ;2025;25.23675026;3;349;;0007-4-2025-105;0.15
EA910;AREA-EA910-3;B2;AREA-EA910-3-3;L-X,6,PZEA910-3;481926.284;9528266.885;284;0.15;Area remediada; ;2025;25.23675026;3;58;;0007-4-2025-108;0.15
EA910;AREA-EA910-3;B2;AREA-EA910-3-1;L-X,6,PZEA910-4;481926.2913;9528265.161;284;0.15;Area remediada; ;2025;25.23675026;3;929;;0007-4-2025-111;0.15
EA910;AREA-EA910-3;B2;AREA-EA910-3-6;L-X,6,PZEA910-5;481928;9528265.166;284;0.15;Area remediada; ;2025;25.23675026;3;262;;0007-4-2025-114;0.15
EA910;AREA-EA910-3;B2;AREA-EA910-3-4;L-X,6,PZEA910-6;481927.97;9528263.434;284;0.15;Area remediada; ;2025;25.23675026;3;611;;0007-4-2025-117;0.15
EA920;AREA-EA920-10;B4;AREA-EA920-10-1;L-X,6,PZEA920-1;481744.426;9528308.462;284;0.4;Area remediada; ;2025;13.49288033;3;4622;;0007-4-2025-120;0.4
EA920;AREA-EA920-10;B4;AREA-EA920-10-3;L-X,6,PZEA920-2;481744.436;9528306.741;284;0.4;Area remediada; ;2025;13.49288033;3;1797;;0007-4-2025-123;0.4
EA920;AREA-EA920-12;B6;AREA-EA920-12-1;L-X,6,PZEA920-3;481746.158;9528306.73;284;0.4;Area remediada; ;2025;17.67861675;3;1800;;0007-4-2025-126;0.4
EA920;AREA-EA920-11;B7;AREA-EA920-11-1;L-X,6,PZEA920-4;481746.158;9528304.998;284;0.4;Area remediada; ;2025;15.63360988;3;119;;0007-4-2025-129;0.4
EA920;AREA-EA920-5;E2;AREA-EA920-5-7;L-X,6,PZEA920-5;481789.459;9528279.017;284;0.1;Area remediada; ;2025;25.72804191;3;0;;0007-4-2025-132;0.1
EA920;AREA-EA920-5;E2;AREA-EA920-5-1;L-X,6,PZEA920-6;481789.504;9528280.713;284;0.1;Area remediada; ;2025;25.72804191;3;0;;0007-4-2025-135;0.1
EA920;AREA-EA920-5;E2;AREA-EA920-5-2;L-X,6,PZEA920-7;481791.196;9528284.208;284;0.1;Area remediada; ;2025;25.72804191;3;0;;0007-4-2025-138;0.1
EA920;AREA-EA920-5;E2;AREA-EA920-5-5;L-X,6,PZEA920-8;481792.754;9528284.011;284;0.1;Area remediada; ;2025;25.72804191;3;0;;0007-4-2025-141;0.1
EA9563;AREA-EA9563-1;G1;AREA-EA9563-1-2;L-X,6,PZEA9563-1;482267.489;9527754.18;289;0.3;Area remediada; ;2025;13.47997751;3;0;;0007-4-2025-144;0.3
EA9563;AREA-EA9563-1;G1;AREA-EA9563-1-1;L-X,6,PZEA9563-2;482267.556;9527752.519;289;0.3;Area remediada; ;2025;13.47997751;3;0;;0007-4-2025-147;0.3
