punto;norte;este;altitud;prof;ca;celda_cod_plano;celda;eva;tip_comp;area_grilla;locacion;grilla;Shape_Leng;Shape_Le_1;Shape_Area;tph
L-X,6,PZEA9511-1;9530877.853;484643.375;297;0.4;0006-5-2025-102;G9;EA9511-G9;1ra. Eval.;Area remediada;2.259471092;EA9511;EA9511-G9-7675;6.431937195;6.431937195;2.259643518;4952
L-X,6,PZEA9511-2;9530885.166;484645.767;297;0.4;0006-5-2025-102;G9;EA9511-G9;1ra. Eval.;Area remediada;2.65092762;EA9511;EA9511-G9-8113;6.737619582;6.737619582;2.650898639;18
L-X,6,PZEA9511-3;9530900.111;484647.481;297;0.4;0006-5-2025-102;G9;EA9511-G9;1ra. Eval.;Area remediada;3.150821343;EA9511;EA9511-G9-7904;6.920403551;6.920403551;3.150719015;24
L-X,6,PZEA9511-4;9530903.852;484656.817;297;0.4;0006-5-2025-102;G9;EA9511-G9;1ra. Eval.;Area remediada;3.199570867;EA9511;EA9511-G9-7679;7.031426181;7.031426181;3.19961746;7
L-X,6,PZEA9511-5;9530907.596;484660.662;297;0.4;0006-5-2025-102;G9;EA9511-G9;1ra. Eval.;Area remediada;2.895949657;EA9511;EA9511-G9-8543;6.949189189;6.949189189;2.895863493;23
L-X,6,PZEA9511-6;9530913.276;484669.867;297;0.4;0006-5-2025-102;G9;EA9511-G9;1ra. Eval.;Area remediada;3.50000115;EA9511;EA9511-G9-7059;7.4834;7.4834;3.50007972;0
L-X,6,PZEA2069-1;9531092.876;484480.913;291;0.25;0006-5-2025-102;B4;EA2069-B4;1ra. Eval.;Area remediada;3.500001146;EA2069;EA2069-B4-7835;7.483199999;7.483199999;3.499892639;39
L-X,6,PZEA2069-2;9531091.021;484480.937;291;0.25;0006-5-2025-102;B4;EA2069-B4;1ra. Eval.;Area remediada;3.404820726;EA2069;EA2069-B4-6879;7.319455225;7.319455225;3.404680979;2629
L-X,6,PZEA2069-3;9531089.134;484482.784;291;0.25;0006-5-2025-102;B4;EA2069-B4;1ra. Eval.;Area remediada;3.500001156;EA2069;EA2069-B4-8185;7.483600002;7.483600002;3.500266812;36
L-X,6,PZEA2069-4;9531089.316;484484.556;291;0.1;0006-5-2025-102;B5;EA2069-B5;1ra. Eval.;Area remediada;2.724645688;EA2069;EA2069-B5-7761;6.887314249;6.887314249;2.724703093;10
L-X,6,PZEA2069-5;9531092.876;484484.654;291;0.1;0006-5-2025-102;B5;EA2069-B5;1ra. Eval.;Area remediada;3.500001146;EA2069;EA2069-B5-8395;7.483200001;7.483200001;3.499892641;23
L-X,6,PZEA2069-6;9531092.876;484486.525;291;0.1;0006-5-2025-102;B5;EA2069-B5;1ra. Eval.;Area remediada;3.500001141;EA2069;EA2069-B5-6943;7.483199999;7.483199999;3.499892639;10
L-X,6,PZEA2069-7;9531094.746;484486.525;291;0.1;0006-5-2025-102;B5;EA2069-B5;1ra. Eval.;Area remediada;3.500001134;EA2069;EA2069-B5-7422;7.483199999;7.483199999;3.499892639;12
L-X,6,PZEA2069-8;9531094.695;484488.018;291;0.1;0006-5-2025-102;B5;EA2069-B5;1ra. Eval.;Area remediada;2.067053695;EA2069;EA2069-B5-7284;5.986788868;5.986788868;2.06705902;7
L-X,6,PZEA2069-9;9531094.746;484480.913;291;0.25;0006-5-2025-102;B4;EA2069-B4;1ra. Eval.;Area remediada;3.500001139;EA2069;EA2069-B4-7363;7.483199999;7.483199999;3.499892639;9
L-X,6,PZEA299-1;9530982.376;484204.151;297;0.1;0006-5-2025-102;B3;EA299-B3;1ra. Eval.;Area remediada;2.868099981;EA299;EA299-B3-8954;6.793141198;6.793141198;2.86814549;0
L-X,6,PZEA299-2;9530980.626;484207.772;297;0.1;0006-5-2025-102;B3;EA299-B3;1ra. Eval.;Area remediada;3.50000115;EA299;EA299-B3-7175;7.4834;7.4834;3.50007972;1128
L-X,6,PZEA299-3;9530982.497;484209.642;297;0.1;0006-5-2025-102;B3;EA299-B3;1ra. Eval.;Area remediada;3.500001137;EA299;EA299-B3-8287;7.483199999;7.483199999;3.499892639;1191
L-X,6,PZEA299-4;9530982.44;484211.129;297;0.1;0006-5-2025-102;B3;EA299-B3;1ra. Eval.;Area remediada;2.030065264;EA299;EA299-B3-7886;5.764915536;5.764915536;2.030117706;1927
L-X,6,PZEA299-5;9530980.527;484211.309;297;0.1;0006-5-2025-102;B3;EA299-B3;1ra. Eval.;Area remediada;2.631226321;EA299;EA299-B3-7790;6.962967735;6.962967735;2.63143564;1559
L-X,6,PZEA2209-1;9530714.968;484232.092;297;0.4;0006-5-2025-102;B3;EA2209-B3;1ra. Eval.;Area remediada;3.500001146;EA2209;EA2209-B3-7467;7.4834;7.4834;3.50007972;0
L-X,6,PZEA2209-2;9530713.1;484232.095;297;0.4;0006-5-2025-102;B3;EA2209-B3;1ra. Eval.;Area remediada;3.488024839;EA2209;EA2209-B3-7744;7.408799474;7.408799474;3.487914165;3193
L-X,6,PZEA2209-3;9530716.839;484232.092;297;0.4;0006-5-2025-102;B3;EA2209-B3;1ra. Eval.;Area remediada;3.500001146;EA2209;EA2209-B3-7364;7.483200004;7.483200004;3.499892644;3308
L-X,6,PZEA2209-4;9530718.771;484237.534;297;0.4;0006-5-2025-102;B3;EA2209-B3;1ra. Eval.;Area remediada;2.825123374;EA2209;EA2209-B3-8132;6.854573415;6.854573415;2.82518862;1814
