punto;norte;este;altitud;prof;ca
L-X,6,PZEA9511-1;9530877.853;484643.375;297;0.4;0006-5-2025-102
L-X,6,PZEA9511-2;9530885.166;484645.767;297;0.4;0006-5-2025-102
L-X,6,PZEA9511-3;9530900.111;484647.481;297;0.4;0006-5-2025-102
L-X,6,PZEA9511-4;9530903.852;484656.817;297;0.4;0006-5-2025-102
L-X,6,PZEA9511-5;9530907.596;484660.662;297;0.4;0006-5-2025-102
L-X,6,PZEA9511-6;9530913.276;484669.867;297;0.4;0006-5-2025-102
L-X,6,PZEA2069-1;9531092.876;484480.913;291;0.25;0006-5-2025-102
L-X,6,PZEA2069-2;9531091.021;484480.937;291;0.25;0006-5-2025-102
L-X,6,PZEA2069-3;9531089.134;484482.784;291;0.25;0006-5-2025-102
L-X,6,PZEA2069-4;9531089.316;484484.556;291;0.1;0006-5-2025-102
L-X,6,PZEA2069-5;9531092.876;484484.654;291;0.1;0006-5-2025-102
L-X,6,PZEA2069-6;9531092.876;484486.525;291;0.1;0006-5-2025-102
L-X,6,PZEA2069-7;9531094.746;484486.525;291;0.1;0006-5-2025-102
L-X,6,PZEA2069-8;9531094.695;484488.018;291;0.1;0006-5-2025-102
L-X,6,PZEA2069-9;9531094.746;484480.913;291;0.25;0006-5-2025-102
L-X,6,PZEA299-1;9530982.376;484204.151;297;0.1;0006-5-2025-102
L-X,6,PZEA299-2;9530980.626;484207.772;297;0.1;0006-5-2025-102
L-X,6,PZEA299-3;9530982.497;484209.642;297;0.1;0006-5-2025-102
L-X,6,PZEA299-4;9530982.44;484211.129;297;0.1;0006-5-2025-102
L-X,6,PZEA299-5;9530980.527;484211.309;297;0.1;0006-5-2025-102
L-X,6,PZEA2209-1;9530714.968;484232.092;297;0.4;0006-5-2025-102
L-X,6,PZEA2209-2;9530713.1;484232.095;297;0.4;0006-5-2025-102
L-X,6,PZEA2209-3;9530716.839;484232.092;297;0.4;0006-5-2025-102
L-X,6,PZEA2209-4;9530718.771;484237.534;297;0.4;0006-5-2025-102
L-X,6,PZEA2209-5R;9530763.61;484258.284;297;0.25;0006-5-2025-102
L-X,6,PZEA2209-6;9530756.126;484258.284;297;0.25;0006-5-2025-102
L-X,6,PZEA2209-7;9530756.201;484260.07;297;0.25;0006-5-2025-102
L-X,6,PZEA2209-8;9530752.281;484260.051;297;0.25;0006-5-2025-102
L-X,6,PZEA2209-9;9530752.385;484258.284;297;0.25;0006-5-2025-102
L-X,6,PZEA2209-10;9530752.385;484256.413;297;0.25;0006-5-2025-102
L-X,6,PZEA9521-1R;9530630.93;484035.665;297;0.2;0006-5-2025-102
L-X,6,PZEA9521-2;9530630.781;484048.751;297;0.2;0006-5-2025-102
L-X,6,PZEA9521-3;9530630.781;484050.622;297;0.2;0006-5-2025-102
L-X,6,PZEA9521-4;9530629.048;484050.701;297;0.2;0006-5-2025-102
L-X,6,PZEA9521-5;9530634.477;484029.998;297;0.15;0006-5-2025-102
L-X,6,PZEA9521-6;9530643.768;484022.491;297;0.15;0006-5-2025-102
L-X,6,PZEA1685-1;9531096.622;485042.157;297;0.15;0006-5-2025-102
L-X,6,PZEA1685-2;9531098.461;485042.19;297;0.15;0006-5-2025-102
L-X,6,PZEA1685-3;9531100.476;485045.735;297;0.15;0006-5-2025-102
L-X,6,PZEA1685-4;9531109.713;485049.645;297;0.15;0006-5-2025-102
L-X,6,PZEA1685-5;9531111.296;485053.328;297;0.15;0006-5-2025-102
L-X,6,PZEA9421-9;9532078.803;486632.366;307;0.1;0006-5-2025-102
L-X,6,PZEA9421-10;9532073.19;486624.883;307;0.2;0006-5-2025-102
L-X,6,PZEA9421-11;9532076.932;486621.141;307;0.2;0006-5-2025-102
L-X,6,PZEA1225-14;9532037.645;486830.674;310;0.4;0006-5-2025-102
L-X,6,PZEA1225-15;9532039.255;486826.943;310;0.4;0006-5-2025-102
L-X,6,PZEA1225-16;9532032.032;486802.612;310;0.4;0006-5-2025-102
L-X,6,PZEA1225-17;9532041.386;486806.353;310;0.4;0006-5-2025-102
L-X,6,PZEA1225-18;9532050.741;486811.966;310;0.4;0006-5-2025-102
L-X,6,PZEA1792-9;9532623.003;486282.348;298;0.2;0006-5-2025-102
L-X,6,PZEA9436-5;9532275.24;485921.451;309;0.1;0006-5-2025-102
L-X,6,PZEA9436-6;9532282.725;485927.061;309;0.1;0006-5-2025-102
L-X,6,PZEA1759-11;9531902.945;486162.788;307;0.15;0006-5-2025-102
L-X,6,PZEA1759-12;9531902.98;486160.985;307;0.15;0006-5-2025-102
L-X,6,PZEA1759-13;9531895.474;486157.191;307;0.4;0006-5-2025-102
L-X,6,PZEA1759-14;9531899.214;486160.904;307;0.4;0006-5-2025-102
L-X,6,PZEA1350-1;9531893.458;485489.067;317;0.4;0006-5-2025-102
L-X,6,PZEA1350-2;9531891.72;485489.29;317;0.4;0006-5-2025-102
L-X,6,PZEA1350-3;9531887.978;485493.031;317;0.4;0006-5-2025-102
L-X,6,PZEA1350-4;9531887.62;485496.773;317;0.4;0006-5-2025-102
L-X,6,PZEA1350-5;9531889.936;485496.823;317;0.4;0006-5-2025-102
L-X,6,PZEA1350-6;9531893.565;485498.62;317;0.1;0006-5-2025-102
L-X,6,PZEA1350-7;9531895.322;485496.664;317;0.1;0006-5-2025-102
L-X,6,PZEA1350-8;9531893.59;485494.902;317;0.4;0006-5-2025-102
L-X,6,PZEA1350-9;9531895.452;485502.395;317;0.1;0006-5-2025-102
L-X,6,PZEA1350-10;9531893.59;485506.595;317;0.1;0006-5-2025-102
L-X,6,PZEA1350-11;9531892.037;485507.954;317;0.1;0006-5-2025-102
L-X,6,PZEA2223-1R;9531637.504;485480.239;303;0.1;0006-5-2025-102
L-X,6,PZEA2223-2;9531633.544;485483.677;303;0.1;0006-5-2025-102
L-X,6,PZEA2223-3;9531627.929;485481.81;303;0.1;0006-5-2025-102
L-X,6,PZEA2223-4;9531626.107;485481.7;303;0.1;0006-5-2025-102
L-X,6,PZEA2157-1;9531560.507;483861.98;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-2;9531560.583;483865.41;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-3;9531560.583;483867.281;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-4;9531560.77;483869.034;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-5;9531562.454;483869.152;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-6;9531564.324;483865.41;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-7;9531581.405;483873.086;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-8;9531581.409;483874.732;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-9;9531581.55;483876.594;299;0.15;0006-5-2025-102
L-X,6,PZEA2157-10;9531582.941;483876.563;299;0.15;0006-5-2025-102
L-X,6,PZEA2216-1;9531266.581;483766.461;301;0.25;0006-5-2025-102
L-X,6,PZEA2216-2;9531266.754;483767.996;301;0.25;0006-5-2025-102
L-X,6,PZEA2216-3;9531264.992;483768.127;301;0.25;0006-5-2025-102
L-X,6,PZEA9523-1;9531085.392;483700.777;303;0.2;0006-5-2025-102
